"data.expr.anno.ctl"	"data.expr.anno.kdSTAT5"	"data.expr.anno.GENE_SYMBOL"
20.1884733333333	21.2507633333333	"PRAMEF20"
9.225107	9.532778	"PRAMEF20"
11.744071	12.5457413333333	"PRAMEF20"
11.744071	12.5457413333333	"PRAMEF17"
14.521078	10.3018966666667	"PRAMEF20"
15.4681433333333	26.6675366666667	"PDPN"
153.5305	160.374233333333	"PRDM2"
20.9184566666667	28.0329066666667	"KAZN"
29.6698433333333	28.26559	"TMEM51"
22.2561866666667	21.21892	"FHAD1"
104.569293333333	74.4865166666667	"EFHD2"
19.1424466666667	27.98927	"CTRC"
18.66356	21.2674133333333	"CELA2A"
1.644575	0.541353415	"CELA2B"
159.124666666667	118.352333333333	"DNAJC16"
4.2434879	6.95757766666667	"DNAJC16"
300.055266666667	331.69	"DDI2"
300.055266666667	331.69	"RSC1A1"
66.3318466666667	37.0399166666667	"PLEKHM2"
