"Probename"	"Gene Symbol"	"sh-GFP"	"sh-JAK2-shRNA1"	"sh-JAK2-shRNA2"	"shRNA-control"
"219566_at"	"PLEKHF1"	68.3209555533333	80.16439447	98.6281422633333	68.6933092366667
"219567_s_at"	"C1orf176"	29.00589044	26.0229438933333	23.67060125	27.17754026
"219568_x_at"	"SOX18"	22.1109641566667	23.7246849166667	23.0637844666667	19.9346254766667
"219569_s_at"	"TMEM22"	210.7011917	188.344587566667	191.4783755	253.4457788
"219570_at"	"C20orf23"	21.0430639066667	22.83747221	21.7586151833333	21.4003134466667
"219571_s_at"	"ZNF12"	153.2016711	134.9957958	108.620788423333	153.757021266667
"219572_at"	"CADPS2"	20.8618925233333	21.5901161933333	21.2046635266667	19.3208249466667
"219573_at"	"LRRC16"	143.660228133333	143.707509466667	135.798422266667	130.2607067
"219574_at"	"March 1"	23.7216504533333	25.6084100133333	22.2974892933333	22.4073550533333
"219575_s_at"	"PDF /// COG8"	486.224024866667	537.412909533333	521.0547159	501.579359933333
"219576_at"	"FLJ12649"	36.3444908466667	37.3715795333333	34.7674339433333	38.3612178266667
"219577_s_at"	"ABCA7"	50.10960042	51.1008178733333	54.17599869	55.9511426766667
"219578_s_at"	"CPEB1"	23.7799871533333	26.0532836366667	24.6455387433333	22.7929033366667
"219579_at"	"RAB3IL1"	57.9123351366667	56.85287198	71.2803493433333	51.6516389566667
"219580_s_at"	"TMC5"	18.9610047166667	19.78914697	20.41415845	19.5607081666667
"219581_at"	"TSEN2"	121.432308766667	108.57547852	104.903279693333	132.922314833333
"219582_at"	"OGFRL1"	40.7129856666667	42.44696882	40.98465118	43.4709621066667
"219583_s_at"	"SPATA7"	23.9353089966667	24.7038887366667	21.9196529266667	21.71656735
"219584_at"	"PLA1A"	19.6937207033333	20.7491887133333	20.9706774333333	21.3224797633333
"219585_at"	"CCDC28B"	29.4928364466667	27.58477318	27.2658796566667	26.7619469733333
"219586_at"	"WDR59"	27.6724172	28.2098849933333	29.6349797433333	28.9196107466667
"219587_at"	"TTC12"	23.0741880033333	26.3830445766667	25.6530055433333	21.7484180666667
"219588_s_at"	"LUZP5"	653.089106833333	635.039474766667	560.910874533333	641.5759161
"219589_s_at"	"FLJ10922"	23.9042013633333	24.2676442066667	24.48092428	22.5064606466667
"219590_x_at"	"DPH5"	684.268081933333	700.985249933333	749.051721266667	683.928450766667
"219591_at"	"BM88"	29.11193666	30.8338795166667	30.8548759933333	27.6650802133333
"219592_at"	"MCPH1"	34.15682423	40.54033573	36.71439975	41.12037789
"219593_at"	"SLC15A3"	25.98019457	24.7130510666667	24.5282519266667	22.91980384
"219594_at"	"NINJ2"	1262.593632	1370.29009633333	1495.944058	1250.49285
"219595_at"	"ZNF26"	172.569115566667	140.6256086	143.629186453333	172.444748466667
"219596_at"	"THAP10"	39.2079192033333	42.2741702466667	40.6952580166667	38.16822972
"219597_s_at"	"DUOX1"	22.3396200366667	23.6963019166667	24.3511113433333	21.0922526866667
"219598_s_at"	"RWDD1"	1162.627424	1112.7090104	1086.77293833333	1130.80217133333
"219599_at"	"PRO1843"	393.199522866667	397.147383266667	350.9322012	417.044196366667
"219600_s_at"	"TMEM50B"	1564.83253333333	1481.546739	1388.50576266667	1644.37981666667
"219601_s_at"	"C10orf12"	21.3072715933333	23.5891809733333	21.2198294466667	21.80733657
"219602_s_at"	"FAM38B"	37.3292393566667	38.7406581133333	43.00870393	39.71814459
